date,Open,High,Low,Close,Volume
2020-05-11 12:08:00,0.7876,0.788,0.7876,0.7878,14473.0
2020-05-11 12:09:00,0.7878,0.7879,0.7805,0.786,44834.0
2020-05-11 12:10:00,0.786,0.79,0.786,0.79,34963.0
2020-05-11 12:11:00,0.79,0.7999,0.7891,0.7998,74455.0
2020-05-11 12:12:00,0.7998,0.7999,0.7931,0.7994,65399.0
2020-05-11 12:13:00,0.7997,0.8072,0.7976,0.798,24095.0
2020-05-11 12:14:00,0.7969,0.7977,0.793,0.797,17107.0
2020-05-11 12:15:00,0.8,0.8,0.8,0.8,13390.0
2020-05-11 12:16:00,0.797,0.7978,0.797,0.7972,15137.0
2020-05-11 12:17:00,0.7978,0.7978,0.7931,0.7966,12687.0
2020-05-11 12:18:00,0.7966,0.7966,0.79,0.7901,43557.0
2020-05-11 12:19:00,0.79,0.7961,0.79,0.7914,39140.0
2020-05-11 12:20:00,0.7905,0.7948,0.7905,0.7914,15565.0
2020-05-11 12:21:00,0.7927,0.7952,0.792,0.7949,16597.0
2020-05-11 12:22:00,0.7946,0.7963,0.794,0.7963,11231.0
2020-05-11 12:23:00,0.7963,0.7963,0.7952,0.7962,20036.0
2020-05-11 12:24:00,0.8,0.8,0.8,0.8,10213.0
2020-05-11 12:25:00,0.7956,0.7956,0.7949,0.795,16982.0
2020-05-11 12:26:00,0.795,0.795,0.7915,0.792,28720.0
2020-05-11 12:27:00,0.7949,0.795,0.792,0.7937,9423.0
2020-05-11 12:28:00,0.7938,0.797,0.7938,0.7966,42619.0
2020-05-11 12:29:00,0.7963,0.7969,0.795,0.7967,58265.0
2020-05-11 12:30:00,0.7966,0.7966,0.7951,0.7953,7519.0
2020-05-11 12:31:00,0.7966,0.7966,0.7951,0.7965,25688.0
2020-05-11 12:32:00,0.7965,0.797,0.7965,0.797,55503.0
2020-05-11 12:33:00,0.8,0.81,0.8,0.8,59866.0
2020-05-11 12:34:00,0.7977,0.8082,0.797,0.8006,182592.0
2020-05-11 12:35:00,0.8006,0.81,0.8,0.8059,214936.0
2020-05-11 12:36:00,0.8096,0.818,0.8054,0.8142,217415.0
2020-05-11 12:37:00,0.8141,0.82,0.8103,0.82,278047.0
2020-05-11 12:38:00,0.82,0.8276,0.8199,0.82,183092.0
2020-05-11 12:39:00,0.82,0.8301,0.8199,0.8299,163434.0
2020-05-11 12:40:00,0.8276,0.8299,0.8251,0.8299,116562.0
